Date & Time,Temp(?C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
43047.58,24.91,5.27,9.38,1501.82
43047.62,24.88,6.37,11.19,1502.94
43047.67,25.25,6.72,11.85,1504.31
43047.71,25.28,7.05,12.39,1504.75
43047.75,25.31,7.28,12.77,1505.07
43047.79,25.25,7.52,13.16,1505.18
43047.83,25.08,7.59,13.22,1504.8
43047.87,25.05,7.36,12.84,1504.47
43047.92,24.93,7.05,12.3,1503.82
43047.96,24.82,6.89,12.02,1503.34
43048,24.79,7.06,12.29,1503.46
43048.04,24.79,9.09,15.53,1505.66
43048.08,24.96,10.79,18.24,1507.95
43048.12,24.76,10.39,17.54,1506.99
43048.17,24.76,12.05,20.1,1508.79
43048.21,24.79,12.6,20.97,1509.47
43048.25,24.85,13.59,22.49,1510.69
43048.29,24.73,14.13,23.26,1510.98
43048.33,24.73,14.59,23.94,1511.48
43048.37,24.73,14.69,24.09,1511.59
43048.42,24.73,14.45,23.74,1511.33
43048.46,24.85,14.62,24.05,1511.82
43048.5,25.05,14.88,24.54,1512.62
43048.54,25.31,15.21,25.16,1513.64
43048.58,25.62,9.83,16.96,1508.65
43048.62,25.6,7.73,13.59,1506.32
43048.67,25.8,8.23,14.45,1507.38
43048.71,25.8,10.12,17.49,1509.42
43048.75,25.25,13.12,21.96,1511.24
43048.79,25.19,14.14,23.49,1512.19
43048.83,25.25,12.99,21.75,1511.09
43048.87,25.25,11.7,19.76,1509.7
43048.92,25.16,13.63,22.69,1511.56
43048.96,25.08,15.12,24.91,1512.95
43049,25.02,15.1,24.85,1512.78
43049.04,24.33,11.55,19.18,1507.11
43049.08,24.56,14.7,24.03,1511.15
43049.12,23.93,13.37,21.75,1508.01
43049.17,23.61,13.02,21.09,1506.78
43049.21,23.61,12.74,20.68,1506.47
43049.25,23.06,11.31,18.33,1503.4
43049.29,22.8,11.41,18.37,1502.78
43049.33,23.64,15.9,25.34,1510.02
43049.37,23.61,16.07,25.56,1510.12
43049.42,23.18,15.93,25.14,1508.8
43049.46,22.63,14.43,22.71,1505.65
43049.5,22.37,11.33,18.1,1501.49
43049.54,22.31,10,16.11,1499.84
43049.58,23.06,10.1,16.51,1502.06
43049.62,23.7,11.27,18.51,1505.1
43049.67,23.93,13.51,21.95,1508.16
43049.71,23.47,12.73,20.6,1506.07
43049.75,23.29,12.31,19.9,1505.13
43049.79,23.38,14.4,23.02,1507.67
43049.83,23.23,15.28,24.23,1508.25
43049.87,23,15.32,24.17,1507.66
43049.92,22.92,14.83,23.42,1506.88
43049.96,22.6,14.34,22.57,1505.47
43050,22.2,13.7,21.46,1503.63
43050.04,22.14,13.61,21.3,1503.36
43050.08,21.53,13.3,20.6,1501.3
43050.12,21.5,14.77,22.66,1502.86
43050.17,21.24,15.05,22.92,1502.43
43050.21,20.92,15.05,22.78,1501.52
43050.25,20.66,14.82,22.33,1500.49
43050.29,20.4,14.72,22.06,1499.62
43050.33,20.14,14.56,21.73,1498.67
43050.37,19.79,14.5,21.48,1497.56
43050.42,20.02,14.91,22.14,1498.71
43050.46,20.11,14.51,21.64,1498.52
43050.5,20.48,15.1,22.63,1500.3
43050.54,20.72,13.34,20.3,1498.99
43050.58,21.33,12.85,19.87,1500.21
43050.62,21.85,12.73,19.92,1501.57
43050.67,22.17,12.74,20.06,1502.48
43050.71,22.05,16.29,25.07,1506.11
43050.75,21.99,17.34,26.51,1507.12
43050.79,21.85,17.53,26.68,1506.92
43050.83,21.68,17.54,26.61,1506.46
43050.87,21.5,17.61,26.6,1506.04
43050.92,21.39,17.52,26.42,1505.61
43050.96,21.27,17.69,26.59,1505.48
43051,21.15,17.52,26.29,1504.95
