Sensor# Latitude	Longitude
WQ1	29.266459979116917	-83.115749973803759

WQ2	29.24560303799808	-83.095912020653486

WQ3	29.231049958616495	-83.090120041742921

WQ4	29.230171032249928	-83.092115018516779

WQ5	29.246092038229108	-83.101499984040856

WQ6	29.265770986676216	-83.118119034916162

WQ7	29.267726987600327	-83.098221989348531

WQ8	29.257425041869283	-83.080270970240235

WQ9	29.232152011245489	-83.082710020244122
