Date & Time,Temp(?C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
42974.63,31.57,20.66,37.44,1533.93
42974.67,31.69,23.94,42.84,1537.5
42974.71,31.72,24.72,44.13,1538.36
42974.75,31.57,23.22,41.6,1536.54
42974.79,31.51,23.1,41.36,1536.29
42974.83,31.45,23.05,41.24,1536.12
42974.88,31.39,21.93,39.38,1534.85
42974.92,30.84,20.35,36.43,1532.06
42974.96,30.49,19.98,35.6,1530.92
42975,30.25,20.03,35.52,1530.46
42975.04,29.79,19.82,34.88,1529.22
42975.08,30.11,21.81,38.27,1531.98
42975.13,29.87,21.65,37.86,1531.31
42975.17,29.58,21.18,36.91,1530.17
42975.21,29.47,20.62,35.95,1529.34
42975.25,29.76,22.23,38.69,1531.65
42975.29,29.58,21.38,37.22,1530.38
42975.33,29.32,20.1,35.03,1528.47
42975.38,28.65,17.21,30.05,1523.94
42975.42,29.06,18.33,32.07,1526.04
42975.46,29.29,18.77,32.91,1527.02
42975.5,29.58,18.93,33.34,1527.84
42975.54,30.17,19.15,34.07,1529.37
42975.58,30.69,19.34,34.71,1530.71
42975.63,31.28,19.47,35.29,1532.1
42975.67,31.1,23.83,42.21,1536.17
42975.71,30.63,25.52,44.52,1536.92
42975.75,30.52,25.58,44.52,1536.74
42975.79,30.52,25.25,44,1536.39
42975.83,30.6,20.71,36.86,1531.92
42975.88,30.57,18.19,32.76,1529.28
42975.92,30.46,17.29,31.21,1528.09
42975.96,30.37,16.64,30.09,1527.23
42976,30.11,15.97,28.85,1525.96
42976.04,30.46,19.27,34.44,1530.13
42976.08,30.37,22.24,39.15,1533
42976.13,29.93,23.62,41,1533.47
42976.17,30.02,22.69,39.6,1532.7
42976.21,30.11,22.72,39.72,1532.92
42976.25,30.08,21.88,38.37,1531.99
42976.29,30.05,21.75,38.14,1531.79
42976.33,30.05,21.68,38.03,1531.72
42976.38,30.05,21.61,37.92,1531.65
42976.42,29.96,21.84,38.21,1531.69
42976.46,29.93,20.15,35.51,1529.88
42976.5,30.14,19.69,34.9,1529.85
42976.54,30.31,19.83,35.25,1530.39
42976.58,30.66,20.01,35.76,1531.33
42976.63,30.43,21.47,37.96,1532.33
42976.67,30.34,21.76,38.36,1532.44
42976.71,30.22,21.92,38.53,1532.35
42976.75,30.05,21.89,38.36,1531.93
42976.79,29.76,22.74,39.49,1532.18
42976.83,29.7,22.03,38.34,1531.32
42976.88,29.67,21.29,37.15,1530.49
42976.92,29.73,21.08,36.86,1530.4
42976.96,29.7,21.35,37.26,1530.61
42977,29.44,20.25,35.35,1528.89
42977.04,29.32,20.53,35.71,1528.92
42977.08,29.06,20.28,35.14,1528.07
42977.13,29.03,21.37,36.83,1529.14
42977.17,29.06,22.25,38.22,1530.12
42977.21,28.94,22.35,38.28,1529.96
42977.25,28.89,22.29,38.16,1529.77
42977.29,28.74,22.47,38.32,1529.63
42977.33,28.65,22.63,38.51,1529.61
42977.38,28.65,22.7,38.62,1529.68
42977.42,28.74,22.47,38.32,1529.63
42977.46,29.03,22.05,37.88,1529.85
42977.5,29.38,21.56,37.36,1530.11
42977.54,29.73,21.21,37.06,1530.53
42977.58,30.17,20.99,37.01,1531.26
42977.63,30.55,20.72,36.84,1531.81
42977.67,30.9,21.05,37.6,1532.9
42977.71,31.16,21.6,38.68,1534.03
42977.75,30.81,22.76,40.29,1534.47
42977.79,30.72,22.88,40.41,1534.4
42977.83,30.52,23.04,40.53,1534.13
42977.88,30.34,23.05,40.41,1533.76
42977.92,30.22,23.11,40.41,1533.57
42977.96,30.11,23.01,40.18,1533.22
42978,30.11,22.94,40.06,1533.15
42978.04,30.22,22.45,39.38,1532.9
42978.08,30.17,22.07,38.73,1532.38
42978.13,30.11,21.67,38.05,1531.84
42978.17,29.85,21.59,37.74,1531.18
42978.21,29.76,22.09,38.47,1531.5
42978.25,29.58,22.75,39.38,1531.8
42978.29,29.55,23.43,40.41,1532.44
42978.33,29.53,23.67,40.76,1532.63
42978.38,29.64,24,41.36,1533.22
42978.42,29.9,24.42,42.21,1534.23
42978.46,30.11,24.47,42.46,1534.73
42978.5,30.4,24.33,42.46,1535.2
42978.54,30.72,23.55,41.48,1535.09
42978.58,31.04,23.02,40.88,1535.23
42978.63,31.57,22.63,40.64,1535.93
42978.67,31.95,22.75,41.12,1536.85
42978.71,32.31,22.59,41.12,1537.41
42978.75,32.75,22.39,41.12,1538.11
42978.79,32.69,22.28,40.88,1537.87
42978.83,32.1,22.39,40.64,1536.79
42978.88,31.66,22.81,41,1536.3
42978.92,31.57,22.85,41,1536.16
42978.96,31.6,22.99,41.24,1536.36
42979,31.66,22.81,41,1536.3
42979.04,31.36,22.29,39.95,1535.16
42979.08,31.39,22.21,39.83,1535.14
42979.13,31.6,22.62,40.64,1535.98
42979.17,31.42,22.27,39.95,1535.26
42979.21,31.07,22.35,39.83,1534.61
42979.25,30.84,23.12,40.88,1534.89
42979.29,30.57,24.08,42.21,1535.32
42979.33,30.52,24.67,43.09,1535.8
42979.38,30.37,24.83,43.22,1535.65
42979.42,30.57,25.38,44.26,1536.66
42979.46,30.69,25.66,44.79,1537.19
42979.5,30.78,25.7,44.93,1537.42
42979.54,30.63,25.52,44.52,1536.92
42979.58,30.81,25.1,44,1536.86
42979.63,30.98,24.28,42.84,1536.39
42979.67,31.36,23.63,42.09,1536.52
42979.71,31.81,23.04,41.48,1536.84
42979.75,31.86,22.79,41.12,1536.7
42979.79,31.69,22.08,39.83,1535.62
42979.83,31.45,22.4,40.18,1535.45
42979.88,31.13,22.54,40.18,1534.92
42979.92,30.69,23.11,40.76,1534.57
42979.96,30.52,23.72,41.6,1534.83
42980,30.49,23.13,40.64,1534.16
42980.04,30.28,22.93,40.18,1533.52
42980.08,30.08,22.81,39.83,1532.95
42980.13,29.99,22.7,39.6,1532.65
42980.17,29.87,22.49,39.18,1532.17
42980.21,29.53,22.28,38.6,1531.19
42980.25,29.38,22.1,38.22,1530.68
42980.29,29.5,22.72,39.26,1531.58
42980.33,29.35,23.6,40.53,1532.18
42980.38,29.47,24.64,42.21,1533.51
42980.42,29.58,25.73,44,1534.9
42980.46,29.73,26.26,44.93,1535.76
42980.5,29.55,26.09,44.52,1535.21
42980.54,29.53,26.02,44.39,1535.07
42980.58,29.7,25.42,43.61,1534.82
42980.63,29.87,24.83,42.84,1534.6
42980.67,29.85,23.97,41.48,1533.64
42980.71,29.5,23.38,40.29,1532.27
42980.75,29.44,22.51,38.9,1531.24
42980.79,29.32,21.91,37.87,1530.35
42980.83,29.15,21.81,37.6,1529.86
42980.88,29.09,22.45,38.55,1530.4
42980.92,29.18,23.24,39.83,1531.41
42980.96,29.12,24.41,41.6,1532.51
42981,29.06,24.93,42.34,1532.91
42981.04,28.86,25.28,42.71,1532.83
42981.08,28.92,25.16,42.59,1532.84
42981.13,28.94,25.23,42.71,1532.97
42981.17,28.8,24.66,41.72,1532.05
42981.21,28.68,24.24,41,1531.36
42981.25,28.42,23.53,39.72,1530.02
42981.29,28.19,22.97,38.69,1528.9
42981.33,28.34,23.42,39.49,1529.71
42981.38,28.34,24.03,40.41,1530.35
42981.42,28.68,25.37,42.71,1532.54
42981.46,28.92,26.27,44.26,1533.99
42981.5,29.09,26.52,44.79,1534.64
42981.54,29.18,26.65,45.06,1534.96
42981.58,29.47,26.67,45.33,1535.61
42981.63,29.53,26.2,44.66,1535.25
42981.67,29.76,25.47,43.74,1535.01
42981.71,30.28,25.03,43.48,1535.68
42981.75,30.19,24.35,42.34,1534.79
42981.79,30.08,23.94,41.6,1534.11
42981.83,29.9,23.56,40.88,1533.34
42981.88,29.82,23.23,40.29,1532.81
42981.92,29.85,23.82,41.24,1533.48
42981.96,29.55,24.67,42.34,1533.73
42982,29.64,25.45,43.61,1534.73
42982.04,29.38,25.84,44,1534.57
42982.08,29.41,25.91,44.13,1534.7
42982.13,29.58,25.9,44.26,1535.08
42982.17,29.58,25.31,43.35,1534.46
42982.21,29.47,24.8,42.46,1533.67
42982.25,28.65,22.77,38.73,1529.76
42982.29,28.65,22.28,37.97,1529.24
42982.33,28.45,22.05,37.48,1528.54
42982.38,28.97,24.17,41.12,1531.93
42982.42,28.89,25.35,42.84,1532.96
42982.46,29.15,26.49,44.79,1534.73
42982.5,29.32,26.93,45.6,1535.57
42982.54,29.55,27.16,46.16,1536.31
42982.58,29.7,27.17,46.3,1536.64
42982.63,29.96,27.02,46.3,1537.05
42982.67,30.11,26.58,45.74,1536.9
42982.71,30.46,26.22,45.47,1537.27
42982.75,30.49,25.77,44.79,1536.87
42982.79,30.66,24.84,43.48,1536.29
42982.83,30.57,24.48,42.84,1535.73
42982.88,30.34,23.96,41.85,1534.7
42982.92,30.22,23.87,41.6,1534.35
42982.96,30.17,24.77,42.97,1535.15
42983,29.99,25.35,43.74,1535.38
42983.04,29.73,25.74,44.13,1535.22
42983.08,29.93,26.24,45.06,1536.17
42983.13,29.82,26.3,45.06,1535.99
42983.17,29.61,25.8,44.13,1535.03
42983.21,29.58,25.4,43.48,1534.55
42983.25,29.47,24.64,42.21,1533.51
42983.29,29.41,24.35,41.72,1533.08
42983.33,29.41,24.03,41.24,1532.75
42983.38,29.23,23.73,40.64,1532.06
42983.42,29.41,24.19,41.48,1532.91
42983.46,29.64,25.12,43.09,1534.38
42983.5,29.82,25.78,44.26,1535.45
42983.54,29.73,26.17,44.79,1535.67
42983.58,29.87,26.62,45.6,1536.45
42983.63,29.93,26.77,45.88,1536.72
42983.67,30.02,26.63,45.74,1536.77
42983.71,29.99,26.29,45.2,1536.36
42983.75,30.17,25.34,43.87,1535.75
42983.79,30.22,23.79,41.48,1534.27
42983.83,30.25,22.87,40.06,1533.39
42983.88,30.02,22.03,38.57,1532.02
42983.92,29.85,21.86,38.17,1531.46
42983.96,29.7,22.24,38.67,1531.54
42984,29.35,22.18,38.32,1530.7
42984.04,29.67,22.85,39.6,1532.1
42984.08,29.67,24.86,42.71,1534.18
42984.13,29.64,25.53,43.74,1534.82
42984.17,29.55,25.24,43.22,1534.33
42984.21,29.09,23.06,39.49,1531.03
42984.25,28.83,20.77,35.75,1528.05
42984.29,28.74,20.16,34.75,1527.23
42984.33,28.6,20.69,35.48,1527.45
42984.38,28.54,21.09,36.06,1527.73
42984.42,28.37,21.2,36.11,1527.45
42984.46,28.65,22.56,38.4,1529.53
42984.5,28.89,23.68,40.29,1531.22
42984.54,29.15,24.56,41.85,1532.72
42984.58,29.12,24.98,42.46,1533.09
42984.63,29.12,25.22,42.84,1533.35
42984.67,29.38,25.42,43.35,1534.13
42984.71,29.15,25.37,43.09,1533.57
42984.75,28.94,24.82,42.09,1532.55
42984.79,28.86,24.15,41,1531.65
42984.83,28.68,23.4,39.72,1530.48
42984.88,28.57,23.01,39.04,1529.81
42984.92,28.37,22.85,38.64,1529.18
42984.96,28.51,22.67,38.46,1529.32
42985,28.54,22.66,38.47,1529.37
42985.04,28.48,22.82,38.68,1529.41
42985.08,28.54,23.09,39.14,1529.83
42985.13,28.54,23.47,39.72,1530.23
42985.17,28.28,23.6,39.72,1529.77
42985.21,27.99,23.31,39.07,1528.81
42985.25,27.84,22.7,38.03,1527.83
42985.29,27.58,22.49,37.53,1527
42985.33,27.41,22.26,37.06,1526.35
42985.38,27.15,22.06,36.57,1525.52
42985.42,26.92,21.66,35.81,1524.55
42985.46,27.07,21.68,35.95,1524.92
42985.5,27.41,21.65,36.14,1525.7
42985.54,27.76,22.16,37.16,1527.06
42985.58,28.08,23.93,40.06,1529.65
42985.63,28.19,24.41,40.88,1530.43
42985.67,28.31,24.67,41.36,1530.96
42985.71,28.25,24.54,41.12,1530.69
42985.75,28.42,23.98,40.41,1530.5
42985.79,28.92,22.07,37.84,1529.61
42985.83,28.42,21.25,36.23,1527.63
42985.88,28.25,20.91,35.58,1526.87
42985.92,28.13,20.74,35.25,1526.44
42985.96,28.22,20.66,35.18,1526.55
42986,28.13,21.19,35.94,1526.91
42986.04,28.05,21.95,37.03,1527.5
42986.08,27.99,22.17,37.33,1527.6
42986.13,28.08,22.42,37.78,1528.07
42986.17,27.73,22.45,37.57,1527.29
42986.21,27.53,22.23,37.09,1526.59
42986.25,27.53,21.62,36.17,1525.94
42986.29,27.38,21.07,35.24,1525.02
42986.33,27.21,20.68,34.53,1524.19
42986.38,26.89,20.1,33.45,1522.82
42986.42,27.35,19.97,33.55,1523.79
42986.46,27.67,19.95,33.72,1524.51
42986.5,28.11,20.5,34.86,1526.11
42986.54,28.45,22.12,37.58,1528.61
42986.58,28.68,22.27,37.98,1529.29
42986.63,28.63,22.07,37.64,1528.96
42986.67,28.65,21.79,37.22,1528.73
42986.71,29.38,21.69,37.57,1530.26
42986.75,29.26,19.99,34.82,1528.22
42986.79,28.97,19.99,34.63,1527.57
42986.83,28.68,20.49,35.22,1527.43
42986.88,28.39,19.95,34.19,1526.2
42986.92,28.25,19.45,33.33,1525.35
42986.96,27.82,19.11,32.52,1523.97
42987,27.67,18.98,32.23,1523.49
42987.04,27.56,19.63,33.16,1523.9
42987.08,27.5,18.97,32.11,1523.07
42987.13,27.64,18.55,31.56,1522.97
42987.17,27.27,18.81,31.72,1522.35
42987.21,27.15,19.11,32.11,1522.39
42987.25,27.01,18.71,31.42,1521.63
42987.29,26.58,17.42,29.19,1519.2
42987.33,26.4,17.19,28.74,1518.52
42987.38,26.37,19,31.46,1520.38
42987.42,26.46,18.55,30.84,1520.12
42987.46,27.07,18.7,31.43,1521.75
42987.5,27.53,18.85,31.95,1523.01
42987.54,27.56,19.57,33.07,1523.84
42987.58,27.44,17.83,30.32,1521.73
42987.63,27.84,18.88,32.19,1523.8
42987.67,28.13,19.14,32.77,1524.75
42987.71,28.19,17.9,30.88,1523.58
42987.75,28.13,17.52,30.24,1523.04
42987.79,28.02,17.07,29.47,1522.3
42987.83,27.87,17.78,30.49,1522.7
42987.88,27.64,17.06,29.24,1521.4
42987.92,27.35,17.32,29.48,1520.98
42987.96,26.83,17.84,29.98,1520.27
42988,26.34,18.12,30.12,1519.37
42988.04,26.17,17.96,29.79,1518.78
42988.08,26.11,17.54,29.12,1518.19
42988.13,26.09,17.13,28.48,1517.68
42988.17,26,16.75,27.86,1517.05
42988.21,25.97,16.2,27.01,1516.39
42988.25,26.03,15.82,26.46,1516.13
42988.29,25.94,16.17,26.94,1516.28
42988.33,25.51,16.33,26.95,1515.36
42988.38,25.42,16.23,26.75,1515.03
42988.42,25.19,16.63,27.23,1514.88
42988.46,24.56,16.51,26.72,1513.12
42988.5,24.27,16.27,26.2,1512.1
42988.54,23.96,16.04,25.7,1511.01
42988.58,23.23,14.22,22.69,1507.08
42988.63,23.12,0.01,0,1491.09
