Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
42958,31.21,10.61,20.24,1522.92
42958.04,31.18,13.56,25.34,1525.86
42958.08,31.12,15.87,29.22,1528.09
42958.13,31.12,17.1,31.28,1529.35
42958.17,31.18,18.07,32.92,1530.47
42958.21,31.18,18.5,33.62,1530.9
42958.25,31.15,18.51,33.63,1530.85
42958.29,31.15,18.55,33.69,1530.89
42958.33,31.12,18.67,33.88,1530.96
42958.38,31.04,17.77,32.34,1529.85
42958.42,31.1,17.46,31.85,1529.66
42958.46,31.12,16.61,30.47,1528.86
42958.5,30.98,13.94,25.89,1525.81
42958.54,31.68,16.99,31.41,1530.44
42958.58,31.94,18.61,34.29,1532.64
42958.63,32.91,17.68,33.29,1533.7
42958.67,32.32,16.07,30.21,1530.87
42958.71,32.8,17.11,32.26,1532.89
42958.75,32.8,18.03,33.83,1533.82
42958.79,32.62,17.56,32.91,1532.97
42958.83,32.5,15.6,29.49,1530.76
42958.88,32.3,13.96,26.55,1528.67
42958.92,32.06,11.95,22.94,1526.14
42958.96,32.06,10.66,20.66,1524.84
42959,31.71,8.87,17.33,1522.25
42959.04,31.27,9.82,18.88,1522.25
42959.08,31.07,11.35,21.49,1523.36
42959.13,30.86,11.71,22.03,1523.27
42959.17,30.8,11.86,22.26,1523.29
42959.21,30.92,12.74,23.83,1524.45
42959.25,31.04,14.24,26.42,1526.24
42959.29,30.95,14.22,26.35,1526.03
42959.33,30.98,14.16,26.27,1526.03
42959.38,31.18,15.27,28.24,1527.61
42959.42,31.24,14.8,27.48,1527.26
42959.46,31.24,13.84,25.84,1526.28
42959.5,31.27,12.75,23.99,1525.23
42959.54,31.68,12.56,23.85,1525.94
42959.58,32.56,16.85,31.67,1532.14
42959.63,33.36,17.75,33.67,1534.67
42959.67,33.33,17.61,33.42,1534.48
42959.71,33.3,17.39,33.03,1534.2
42959.75,33.24,17.19,32.64,1533.88
42959.79,33.56,17.56,33.47,1534.91
42959.83,33.59,17.71,33.76,1535.12
42959.88,33.56,17.26,32.95,1534.61
42959.92,33.24,16.44,31.34,1533.13
42959.96,33.18,15.94,30.45,1532.51
42960,33.12,15.51,29.66,1531.95
42960.04,33.12,15.58,29.78,1532.02
42960.08,32.68,14.39,27.49,1529.92
42960.13,31.77,14.32,26.93,1527.92
42960.17,31.47,14.05,26.31,1527
42960.21,31.39,13.72,25.71,1526.48
42960.25,31.27,14.07,26.26,1526.58
42960.29,32.18,15.06,28.4,1529.54
42960.33,31.74,16,29.77,1529.55
42960.38,31.68,15.68,29.19,1529.1
42960.42,31.62,14.68,27.47,1527.96
42960.46,31.74,13.53,25.55,1527.05
42960.5,31.62,12.91,24.42,1526.16
42960.54,31.59,12.41,23.54,1525.59
42960.58,32,12.04,23.07,1526.11
42960.63,32.53,11.23,21.85,1526.43
42960.67,32.88,10.78,21.18,1526.73
42960.71,32.94,11.42,22.35,1527.49
42960.75,33.12,12.36,24.11,1528.8
42960.79,33,12.45,24.23,1528.65
42960.83,32.38,13.23,25.33,1528.13
42960.88,32.65,13.85,26.54,1529.32
42960.92,32.71,13.39,25.76,1528.97
42960.96,32.41,11.99,23.16,1526.94
42961,32.38,11.03,21.44,1525.91
42961.04,32.32,10.9,21.18,1525.65
42961.08,31.97,10.33,20.03,1524.31
42961.13,31.97,10.11,19.64,1524.09
42961.17,31.39,10.7,20.47,1523.4
42961.21,31.27,11.98,22.67,1524.45
42961.25,31.18,12.36,23.29,1524.65
42961.29,31.07,12.27,23.07,1524.29
42961.33,30.92,12.58,23.54,1524.28
42961.38,30.92,12.72,23.79,1524.43
42961.42,30.92,12.58,23.54,1524.28
42961.46,30.92,11.84,22.27,1523.53
42961.5,30.92,10.82,20.51,1522.49
42961.54,31.04,9.82,18.8,1521.73
42961.58,31.07,9.51,18.26,1521.47
42961.63,31.59,8.8,17.18,1521.93
42961.67,31.59,8.81,17.19,1521.94
42961.71,32.09,7.68,15.28,1521.89
42961.75,32.56,6.77,13.71,1522
42961.79,32.35,6.44,13.04,1521.22
42961.83,32.24,7.73,15.42,1522.27
42961.88,31.94,9.82,19.12,1523.73
42961.92,32.35,11.11,21.57,1525.93
42961.96,32.32,10.35,20.21,1525.1
42962,32.03,8.36,16.51,1522.45
42962.04,31.62,7.31,14.47,1520.47
42962.08,31.07,0.01,0,1511.77
42962.13,30.69,0.01,0,1510.88
42962.17,30.89,0.01,0,1511.36
42962.21,30.77,1.57,3.39,1512.68
42962.25,30.63,5.43,10.78,1516.3
42962.29,30.54,6.2,12.19,1516.89
42962.33,31.68,9.96,19.27,1523.29
42962.38,31.65,10.44,20.11,1523.72
42962.42,31.07,9.94,19.02,1521.91
42962.46,30.66,7.95,15.37,1518.96
42962.5,30.63,5.35,10.63,1516.21
42962.54,30.83,0.01,0,1511.22
42962.58,30.89,1.85,3.95,1513.24
42962.63,31.07,5.39,10.8,1517.26
42962.67,31.59,0.01,0,1513
42962.71,31.91,0.01,0,1513.74
42962.75,32.21,0.01,0,1514.41
42962.79,31.8,0.01,0,1513.47
42962.83,31.5,0.01,0,1512.79
42962.88,31.53,6.09,12.21,1519.04
42962.92,31.71,7.6,15.04,1520.97
42962.96,31.68,8.85,17.29,1522.17
42963,31.86,9.86,19.16,1523.58
42963.04,31.86,10.2,19.75,1523.92
42963.08,32.03,9.97,19.41,1524.08
42963.13,31.97,9.53,18.61,1523.51
42963.17,31.91,10.11,19.62,1523.96
42963.21,31.15,7.18,14.11,1519.29
42963.25,31.47,8.76,17.06,1521.62
42963.29,31.33,12.08,22.86,1524.68
42963.33,31.15,13.89,25.89,1526.14
42963.38,31.15,14.59,27.07,1526.85
42963.42,31.07,14.88,27.53,1526.96
42963.46,31.04,15.07,27.83,1527.09
42963.5,30.8,13.95,25.82,1525.43
42963.54,30.8,13.72,25.44,1525.2
42963.56,32.41,5.55,11.38,1520.45
42963.6,31.56,5.01,10.19,1518.01
42963.65,32.56,0.01,0,1515.2
42963.69,33.24,0.02,0,1516.72
42963.73,32.88,6.12,12.57,1522.06
42963.77,32.77,6.07,12.43,1521.74
42963.81,32.27,6.01,12.21,1520.59
42963.85,32.27,8.94,17.63,1523.54
42963.9,32.24,11.31,21.89,1525.88
42963.94,32.15,12.66,24.22,1527.05
42963.98,31.88,13.78,26.05,1527.62
42964.02,31.94,14.41,27.17,1528.38
42964.06,31.65,9.83,19.04,1523.1
42964.1,31.42,7.83,15.36,1520.54
42964.15,31.12,6.21,12.34,1518.24
42964.19,30.98,5.93,11.78,1517.61
42964.23,30.37,1.76,3.73,1511.91
42964.27,30.6,9.61,18.29,1520.53
42964.31,31.62,15.85,29.46,1529.15
42964.35,31.42,18.83,34.32,1531.74
42964.4,31.18,19.05,34.53,1531.46
42964.44,30.89,17.69,32.12,1529.45
42964.48,31.18,18.46,33.56,1530.87
42964.52,31.21,13.81,25.79,1526.19
42964.56,31.65,11.17,21.4,1524.46
42964.6,31.59,11.45,21.86,1524.61
42964.65,31.74,8.02,15.8,1521.45
42964.69,32.38,4.3,8.96,1519.12
42964.73,32.91,0.01,0,1515.99
42964.77,32.62,3.34,7.11,1518.68
42964.81,32.27,6.64,13.4,1521.23
42964.85,32.09,7.79,15.48,1522
42964.9,31.83,9.5,18.5,1523.15
42964.94,31.68,11.87,22.64,1525.24
42964.98,31.47,12.86,24.28,1525.8
42965.02,31.33,12.47,23.53,1525.07
42965.06,31.3,13.01,24.45,1525.56
42965.1,31.27,11.64,22.07,1524.1
42965.15,31.27,8.85,17.16,1521.26
42965.19,31.1,7.6,14.87,1519.59
42965.23,30.98,7.52,14.68,1519.24
42965.27,30.69,8.51,16.38,1519.6
42965.31,30.45,9.22,17.55,1519.79
42965.35,30.22,8.92,16.95,1518.95
42965.4,30.6,12.24,22.83,1523.23
42965.44,30.75,14.68,27.03,1526.05
42965.48,30.66,15.39,28.17,1526.58
42965.52,30.6,15.39,28.15,1526.46
42965.56,30.45,12.92,23.92,1523.59
42965.6,30.37,11.14,20.85,1521.57
42965.65,30.11,8.3,15.82,1518.04
42965.69,29.82,6.42,12.41,1515.42
42965.73,29.84,6.23,12.07,1515.29
42965.77,29.64,6.01,11.64,1514.59
42965.81,29.44,5.13,10,1513.18
42965.85,29.47,6.15,11.85,1514.32
42965.9,29.76,11,20.37,1520.02
42965.94,29.93,13.62,24.87,1523.14
42965.98,30.02,13.29,24.36,1523
42966.02,30.11,13.21,24.26,1523.11
42966.06,30.16,13.88,25.41,1523.93
42966.1,30.11,13.59,24.9,1523.5
42966.15,29.96,13.09,23.99,1522.65
42966.19,29.96,13.38,24.48,1522.95
42966.23,29.79,12.79,23.41,1521.94
42966.27,29.61,11.73,21.56,1520.45
42966.31,29.44,13.48,24.4,1521.85
42966.35,29.99,16.51,29.67,1526.25
42966.4,30.22,18.36,32.82,1528.68
42966.44,29.7,15.62,28.06,1524.68
42966.48,29.73,12.96,23.66,1521.98
42966.52,29.87,14.63,26.51,1524.04
42966.56,29.99,15.89,28.64,1525.61
42966.6,29.9,17.52,31.26,1527.09
42966.65,29.82,16.74,29.95,1526.1
42966.69,29.96,13.84,25.24,1523.42
42966.73,30.63,10.76,20.29,1521.77
42966.77,31.45,8.87,17.25,1521.67
42966.81,31.5,8.21,16.08,1521.13
42966.85,30.86,3.88,7.92,1515.25
42966.9,31.1,7.31,14.34,1519.29
42966.94,30.8,10.52,19.94,1521.91
42966.98,30.6,11.31,21.24,1522.27
42967.02,30.77,14.44,26.65,1525.87
42967.06,30.69,16.19,29.52,1527.47
42967.1,30.72,16.62,30.26,1527.98
42967.15,30.77,15.85,29,1527.31
42967.19,30.63,13.26,24.57,1524.33
42967.23,30.66,13.3,24.66,1524.44
42967.27,30.54,12.6,23.42,1523.46
42967.31,30.11,10.51,19.66,1520.32
42967.35,30.02,10.6,19.79,1520.21
42967.4,30.45,16.48,29.87,1527.25
42967.44,30.45,17.35,31.31,1528.15
42967.48,30.54,17.98,32.39,1528.99
42967.52,30.45,18.16,32.63,1528.98
42967.56,30.45,18.57,33.29,1529.4
42967.6,30.51,18.12,32.6,1529.07
42967.65,30.98,17.25,31.45,1529.19
42967.69,30.77,15.7,28.75,1527.15
42967.73,31.24,14.07,26.24,1526.52
42967.77,31.33,12.03,22.77,1524.63
42967.81,31.33,10.79,20.61,1523.37
42967.85,30.95,7.56,14.75,1519.22
42967.9,30.31,7.07,13.7,1517.24
42967.94,30.51,9.62,18.27,1520.34
42967.98,30.57,12.28,22.88,1523.19
42968.02,30.4,13.84,25.45,1524.41
42968.06,30.4,14.73,26.94,1525.33
42968.1,30.31,15.63,28.38,1526.05
42968.15,30.19,15.34,27.84,1525.49
42968.19,30.05,14.05,25.63,1523.84
42968.23,30.16,14.23,26,1524.29
42968.27,29.9,12.92,23.67,1522.34
42968.31,29.61,12.08,22.14,1520.8
42968.35,29.58,12.25,22.43,1520.92
42968.4,29.58,12.25,22.43,1520.92
42968.44,30.16,15.76,28.52,1525.86
42968.48,30.4,18.74,33.54,1529.45
42968.52,30.34,19.57,34.84,1530.17
42968.56,30.34,19.87,35.33,1530.48
42968.6,30.4,19.86,35.36,1530.6
42968.65,31.01,19.6,35.32,1531.65
42968.69,31.04,19.35,34.94,1531.47
42968.73,30.54,18.47,33.2,1529.49
42968.77,30.66,16.41,29.86,1527.63
42968.81,30.83,14.26,26.37,1525.82
42968.85,30.51,12.21,22.74,1522.99
42968.9,30.08,8.94,16.94,1518.64
42968.94,29.9,9.95,18.63,1519.27
42968.98,30.31,14.01,25.69,1524.39
42969.02,30.16,15.24,27.67,1525.33
42969.06,30.22,16.91,30.46,1527.18
42969.1,30.25,18.39,32.88,1528.77
42969.15,30.34,18.65,33.36,1529.23
42969.19,29.7,17.45,31.03,1526.57
42969.23,30.28,18.45,33,1528.9
42969.27,30.16,17.65,31.62,1527.81
42969.31,30.16,17.68,31.68,1527.85
42969.35,29.26,13.91,25.03,1521.91
42969.4,29.15,12.78,23.12,1520.46
42969.44,30.05,16.2,29.19,1526.06
42969.48,30.34,19.18,34.21,1529.77
42969.52,30.63,20.84,37.08,1532.11
42969.56,30.8,21.43,38.16,1533.09
42969.6,31.24,21.84,39.12,1534.43
42969.65,31.1,21.91,39.13,1534.2
42969.69,31.33,21.52,38.67,1534.3
42969.73,31.39,20.64,37.27,1533.52
42969.77,30.72,18.55,33.43,1529.96
42969.81,31.21,16.86,30.93,1529.3
42969.85,31.39,13.67,25.62,1526.42
42969.9,31.27,10.84,20.67,1523.28
42969.94,30.72,7.74,15.01,1518.87
42969.98,30.72,9.55,18.21,1520.72
42970.02,30.77,15.17,27.86,1526.61
42970.06,30.83,18.08,32.73,1529.73
42970.1,30.86,18.8,33.93,1530.52
42970.15,30.92,19.32,34.81,1531.18
42970.19,30.89,19.31,34.78,1531.11
42970.23,30.8,18.88,34.03,1530.48
42970.27,30.8,18.09,32.73,1529.67
42970.31,30.66,16.92,30.72,1528.16
42970.35,30.57,15.99,29.12,1527.01
42970.4,30.11,13.61,24.93,1523.52
42970.44,30.19,11.66,21.67,1521.7
42970.48,31.1,15.78,29.06,1527.94
42970.52,31.12,18.95,34.33,1531.24
42970.56,31.12,20.23,36.44,1532.55
42970.6,31.01,20.43,36.67,1532.5
42970.65,31.36,20.6,37.19,1533.42
42970.69,31.68,20.27,36.86,1533.76
42970.73,32.03,18.84,34.72,1533.05
42970.77,32.18,17.42,32.43,1531.93
42970.81,32,13.9,26.31,1527.99
42970.85,32.06,13.66,25.93,1527.87
42970.9,31.74,11.33,21.72,1524.81
42970.94,31.18,8.81,17.06,1521.02
42970.98,30.83,9.1,17.46,1520.53
42971.02,31.1,14.79,27.38,1526.93
42971.06,30.86,17.91,32.46,1529.61
42971.1,30.92,18.41,33.33,1530.25
42971.15,31.01,18.36,33.29,1530.39
42971.19,30.8,18.06,32.67,1529.64
42971.23,30.89,18.62,33.64,1530.4
42971.27,30.86,18.63,33.64,1530.35
42971.31,30.77,18.11,32.73,1529.62
42971.35,30.66,17.37,31.46,1528.62
42971.4,30.34,15.55,28.27,1526.04
42971.44,30.08,12.28,22.68,1522.08
42971.48,30.4,12.34,22.91,1522.87
42971.52,31.77,16.69,30.95,1530.32
42971.56,31.68,18.6,34.11,1532.07
42971.6,31.24,20.02,36.17,1532.59
42971.65,31.24,19.82,35.84,1532.38
42971.69,31.5,19.67,35.75,1532.78
42971.73,32.53,19.19,35.62,1534.44
42971.77,33.03,18.44,34.66,1534.71
42971.81,33.09,17.68,33.4,1534.07
42971.85,32.62,15.27,28.99,1530.68
42971.9,32.06,12.05,23.11,1526.24
42971.94,31.68,11.9,22.69,1525.26
42971.98,31.56,12.08,22.97,1525.2
42972.02,31.24,11.47,21.77,1523.87
42972.06,31.33,11.68,22.17,1524.27
42972.1,31.36,14.35,26.76,1527.05
42972.15,31.36,16.68,30.71,1529.43
42972.19,31.01,17.89,32.52,1529.91
42972.23,30.89,18.22,33,1530
42972.27,30.66,16.81,30.54,1528.04
42972.31,30.72,17.99,32.5,1529.37
42972.35,31.01,18.01,32.72,1530.03
42972.4,31.1,17.41,31.77,1529.6
42972.44,30.34,13.97,25.64,1524.41
42972.48,30.45,12.07,22.48,1522.72
42972.52,31.24,13.48,25.23,1525.91
42972.56,31.47,17.74,32.55,1530.76
42972.6,31.53,20.19,36.64,1533.38
42972.65,31.5,20.04,36.38,1533.16
42972.69,31.8,20.12,36.7,1533.86
42972.73,32.03,19.55,35.9,1533.77
42972.77,32.44,19.64,36.32,1534.71
42972.81,32.65,17.7,33.18,1533.19
42972.85,32.3,19.06,35.25,1533.82
42972.9,31.97,16.79,31.24,1530.85
42972.94,31.68,15.23,28.44,1528.65
42972.98,31.45,14.29,26.72,1527.19
42973.02,31.24,13.7,25.6,1526.14
42973.06,31.27,17.75,32.44,1530.33
42973.1,31.3,19.8,35.84,1532.48
42973.15,31.42,20.72,37.42,1533.67
42973.19,31.01,18.51,33.54,1530.54
42973.23,31.01,18.43,33.42,1530.47
42973.27,31.21,19.3,34.96,1531.79
42973.31,31.33,20.52,37.04,1533.28
42973.35,31.15,20.27,36.51,1532.65
42973.4,30.75,18.67,33.65,1530.14
42973.44,30.57,16.86,30.57,1527.9
42973.48,30.57,15.4,28.15,1526.41
42973.52,31.07,14.42,26.76,1526.49
42973.56,31.65,18.27,33.54,1531.67
42973.6,31.86,20.62,37.56,1534.48
42973.65,31.94,21.45,38.98,1535.51
42973.69,32,21.8,39.6,1535.99
42973.73,32.15,19.5,35.9,1533.96
42973.77,31.94,17.51,32.44,1531.52
42973.81,31.94,17.21,31.93,1531.21
42973.85,31.77,18.73,34.36,1532.38
42973.9,31.59,17.73,32.6,1531
42973.94,31.18,15.74,29.03,1528.09
42973.98,30.92,15.43,28.38,1527.2
42974.02,30.77,15.45,28.34,1526.91
42974.06,30.69,17.67,31.96,1528.98
42974.1,31.12,20.51,36.89,1532.84
42974.15,30.83,20.72,37.03,1532.43
42974.19,30.8,21.1,37.62,1532.75
42974.23,30.16,20.81,36.72,1531.07
42974.27,29.76,20.11,35.33,1529.45
42974.31,29.79,19.68,34.68,1529.08
42974.35,30.28,20.23,35.86,1530.72
42974.4,30.19,20.38,36.05,1530.69
42974.41,28.25,0.01,0,1504.93
42974.45,30.08,18.48,32.92,1528.47
42974.49,30.08,17.89,31.96,1527.87
42974.53,30.28,17.44,31.35,1527.85
42974.58,30.54,17.67,31.88,1528.67
42974.62,30.92,20.47,36.68,1532.35
42974.66,31.3,21.7,38.94,1534.42
42974.7,31.3,21.38,38.42,1534.09
42974.74,31.45,18.02,33,1530.98
42974.78,31.27,17.86,32.62,1530.44
42974.83,31.18,18.2,33.13,1530.6
42974.87,31.07,20.98,37.61,1533.19
42974.91,31.07,18.97,34.34,1531.14
42974.95,30.48,18.24,32.78,1529.13
42974.99,30.37,18.87,33.73,1529.52
42975.03,30.16,18.96,33.74,1529.16
42975.08,29.93,20.41,35.92,1530.14
42975.12,29.84,20.61,36.18,1530.16
42975.16,29.67,20.71,36.23,1529.88
42975.2,29.44,20.18,35.24,1528.82
42975.24,29.29,19.69,34.37,1527.99
42975.28,29.15,19.57,34.09,1527.53
42975.33,28.89,18.77,32.66,1526.1
42975.37,28.83,18.36,31.97,1525.54
42975.41,28.69,17.75,30.92,1524.57
42975.45,29.24,19.82,34.54,1527.99
42975.49,29.26,18.47,32.4,1526.64
42975.53,29.53,17.32,30.72,1526.04
42975.58,30.31,17.23,31.02,1527.7
42975.62,30.8,16.49,30.08,1528.03
42975.66,31.15,20.67,37.16,1533.06
42975.7,30.89,24.35,42.88,1536.27
42975.74,30.92,18.25,33.05,1530.08
42975.78,30.69,17.1,31.03,1528.4
42975.83,30.4,17.85,32.09,1528.53
42975.87,30.28,17.11,30.82,1527.52
42975.91,30.22,16.52,29.81,1526.78
42975.95,30.16,17.68,31.68,1527.85
42975.99,29.73,15.91,28.54,1525.04
42976.03,29.53,16.25,28.99,1524.93
42976.08,29.64,17.72,31.43,1526.72
42976.12,30.19,24.95,43.27,1535.4
42976.16,30.02,24.56,42.52,1534.62
42976.2,29.99,24.44,42.31,1534.43
42976.24,30.02,24.59,42.58,1534.66
42976.28,30.02,24.18,41.94,1534.24
42976.33,30.05,24.17,41.94,1534.28
42976.37,30.11,24.79,42.95,1535.05
42976.41,30.05,23.84,41.43,1533.94
42976.45,30.11,23.62,41.12,1533.84
42976.49,30.28,23.15,40.52,1533.74
42976.53,29.76,19.72,34.71,1529.05
42976.58,30.54,18.82,33.75,1529.85
42976.62,30.43,20.25,36,1531.07
42976.66,30.22,19.13,34.06,1529.47
42976.7,30.45,21.52,38.06,1532.43
42976.74,30.28,22.62,39.68,1533.19
42976.78,30.05,22.12,38.72,1532.17
42976.83,29.99,22.07,38.6,1531.99
42976.87,29.82,20.48,35.96,1529.97
42976.91,29.7,20.49,35.9,1529.72
42976.95,29.64,19.58,34.42,1528.65
42976.99,29.82,19.63,34.61,1529.09
42977.03,29.67,19.18,33.8,1528.3
42977.08,29.03,17.5,30.72,1525.11
42977.12,28.77,17.42,30.45,1524.43
42977.16,29.76,21.63,37.74,1531.02
42977.2,29.67,21.88,38.07,1531.09
42977.24,29.44,21.76,37.72,1530.45
42977.28,29.09,21.62,37.26,1529.54
42977.33,28.92,21.66,37.2,1529.18
42977.37,28.92,21.94,37.63,1529.48
42977.41,28.8,21.69,37.17,1528.95
42977.45,28.69,21.45,36.71,1528.44
42977.49,29,20.41,35.3,1528.07
42977.53,29.18,19.58,34.12,1527.61
42977.58,29.82,20.08,35.32,1529.55
42977.62,30.57,19.79,35.35,1530.91
42977.66,30.4,20.11,35.75,1530.85
42977.7,31.24,20.65,37.2,1533.23
42977.74,31.33,20.96,37.75,1533.72
42977.78,31.12,21.7,38.82,1534.05
42977.83,30.75,22.27,39.46,1533.83
42977.87,30.72,22.96,40.54,1534.47
42977.91,30.6,23.14,40.74,1534.41
42977.95,30.51,23.18,40.75,1534.27
42977.99,30.16,22.83,39.92,1533.15
42978.03,30.37,21.93,38.65,1532.67
42978.08,30.22,21.25,37.46,1531.65
42978.12,30.05,20.17,35.63,1530.16
42978.16,29.93,20.2,35.6,1529.94
42978.2,29.87,20.83,36.55,1530.45
42978.24,29.93,22.37,39.03,1532.17
42978.28,29.55,22.94,39.64,1531.93
42978.33,29.55,23.51,40.53,1532.52
42978.37,29.55,23.6,40.68,1532.62
42978.41,29.64,23.65,40.82,1532.86
42978.45,29.9,23.79,41.24,1533.58
42978.49,29.87,23.52,40.8,1533.24
42978.53,30.19,23.2,40.53,1533.6
42978.58,30.75,22.39,39.65,1533.95
42978.62,31.39,21.87,39.28,1534.78
42978.66,31.71,21.56,39,1535.13
42978.7,32.62,20.8,38.38,1536.24
42978.74,32.77,20.17,37.42,1535.9
42978.78,32.12,20.82,38.07,1535.24
42978.83,31.94,21.08,38.38,1535.13
42978.87,31.86,21.62,39.21,1535.5
42978.91,31.86,22.01,39.84,1535.9
42978.95,31.77,22.52,40.6,1536.23
42978.99,31.71,22.49,40.51,1536.08
42979.03,31.56,21.85,39.36,1535.12
42979.08,31.56,22.21,39.95,1535.49
42979.12,31.47,22.43,40.24,1535.53
42979.16,31.56,22.41,40.28,1535.7
42979.2,31.5,22.59,40.53,1535.75
42979.24,31.21,21.63,38.77,1534.17
42979.28,30.83,22.43,39.78,1534.18
42979.33,30.66,22.99,40.54,1534.38
42979.37,30.6,23.61,41.48,1534.89
42979.41,30.63,24.63,43.13,1536
42979.45,30.66,24.94,43.63,1536.38
42979.49,30.77,25.35,44.37,1537.05
42979.53,30.72,24.98,43.74,1536.54
42979.58,30.77,24.11,42.41,1535.77
42979.62,30.86,23.25,41.11,1535.08
42979.66,31.04,22.5,40.04,1534.68
42979.7,31.21,21.82,39.07,1534.36
42979.74,31.62,20.63,37.41,1534
42979.78,31.88,18.88,34.69,1532.78
42979.83,31.5,18.09,33.14,1531.18
42979.87,31.59,19.22,35.08,1532.51
42979.91,31.07,20.15,36.25,1532.34
42979.95,30.77,21.55,38.33,1533.15
42979.99,30.72,21.5,38.21,1532.98
42980.03,30.66,20.58,36.69,1531.91
42980.08,30.34,19.38,34.54,1529.98
42980.12,30.11,18.63,33.19,1528.7
42980.16,30.37,20.21,35.89,1530.9
42980.2,30.02,19.23,34.1,1529.13
42980.24,29.9,18.12,32.23,1527.71
42980.28,29.84,18.52,32.84,1528
42980.33,30.4,21.65,38.23,1532.45
42980.37,30.37,23.23,40.71,1534
42980.41,29.96,24.22,41.95,1534.14
42980.45,29.79,24.79,42.71,1534.36
42980.49,29.73,25.29,43.43,1534.75
42980.53,29.79,25.4,43.65,1534.99
42980.58,29.93,24.37,42.16,1534.24
42980.62,29.96,25.08,43.3,1535.04
42980.66,29.9,24.62,42.53,1534.44
42980.7,29.99,23.71,41.18,1533.69
42980.74,30.08,21.86,38.33,1531.97
42980.78,30.02,20.34,35.88,1530.27
42980.83,29.58,18.35,32.42,1527.24
42980.87,29.76,19.59,34.51,1528.92
42980.91,29.35,21.15,36.7,1529.63
42980.95,29.44,22.57,38.98,1531.29
42980.99,29.35,23.77,40.79,1532.35
42981.03,29.26,24.44,41.75,1532.85
42981.08,29.29,24.69,42.16,1533.18
42981.12,29.26,24.64,42.06,1533.06
42981.16,29.29,24.49,41.85,1532.97
42981.2,29.38,23.85,40.94,1532.5
42981.24,29.32,23.24,39.94,1531.73
42981.28,29.18,22.29,38.36,1530.42
42981.33,28.97,22.58,38.67,1530.28
42981.37,28.97,23.85,40.63,1531.6
42981.41,29,24.75,42.03,1532.61
42981.45,29.09,25.66,43.49,1533.75
42981.49,29.21,26.16,44.34,1534.52
42981.53,29.41,26.39,44.86,1535.2
42981.58,29.44,26.53,45.1,1535.41
42981.62,29.41,26,44.26,1534.8
42981.66,29.47,25.22,43.12,1534.11
42981.7,29.55,24.31,41.78,1533.36
42981.74,29.9,23.2,40.31,1532.97
42981.78,30.19,21.89,38.45,1532.24
42981.83,30.25,21.34,37.62,1531.8
42981.87,30.13,19.33,34.32,1529.48
42981.91,30.05,20.65,36.39,1530.65
42981.95,29.84,22.11,38.56,1531.72
42981.99,29.76,23.1,40.04,1532.54
42982.03,29.87,23.77,41.19,1533.5
42982.08,29.87,24.47,42.27,1534.21
42982.12,30.02,24.7,42.74,1534.76
42982.16,29.96,24.66,42.64,1534.6
42982.2,29.64,24.36,41.92,1533.6
42982.24,29.79,23.44,40.61,1532.97
42982.28,29.84,22.03,38.44,1531.63
42982.33,29.06,19.99,34.69,1527.77
42982.37,29.61,22.94,39.69,1532.06
42982.41,29.32,24.85,42.42,1533.41
42982.45,29.24,25.36,43.14,1533.75
42982.49,29.29,25.43,43.3,1533.95
42982.53,29.47,25.89,44.14,1534.81
42982.58,29.58,25.9,44.25,1535.07
42982.62,29.76,25.76,44.17,1535.3
42982.66,29.7,25.68,44,1535.09
42982.7,29.73,24.86,42.77,1534.31
42982.74,30.11,23.68,41.22,1533.91
42982.78,30.6,22.43,39.61,1533.68
42982.83,30.77,21.92,38.93,1533.54
42982.87,31.04,21.14,37.85,1533.3
42982.91,30.63,19.08,34.23,1530.3
42982.95,30.57,19.81,35.38,1530.93
42982.99,30.19,21.57,37.95,1531.92
42983.03,29.96,22.87,39.84,1532.75
42983.08,29.99,23.74,41.23,1533.72
42983.12,29.96,24.12,41.79,1534.04
42983.16,29.93,24.2,41.9,1534.06
42983.2,29.82,24.33,42.01,1533.95
42983.24,29.9,23.63,40.99,1533.41
42983.28,29.93,22.89,39.84,1532.71
42983.33,30.16,22.17,38.89,1532.47
42983.37,29.93,21.85,38.22,1531.64
42983.41,29.58,21.28,37.07,1530.28
42983.45,29.58,22.8,39.46,1531.86
42983.49,29.61,23.95,41.26,1533.11
42983.53,29.7,24.74,42.55,1534.12
42983.58,29.7,25.05,43.04,1534.44
42983.62,29.82,25.27,43.48,1534.92
42983.66,29.73,25.18,43.26,1534.64
42983.7,29.73,24.97,42.93,1534.42
42983.74,29.87,23.21,40.32,1532.92
42983.78,30.16,21.05,37.11,1531.32
42983.83,30.31,20.51,36.34,1531.08
42983.87,30.34,20.07,35.64,1530.68
42983.91,30.19,18.96,33.77,1529.23
42983.95,30.05,17.59,31.47,1527.5
42983.99,29.58,20.16,35.3,1529.12
42984.03,29.5,19.94,34.9,1528.7
42984.08,29.47,20.24,35.34,1528.94
42984.12,29.53,20.9,36.43,1529.75
42984.16,29.47,21.54,37.39,1530.29
42984.2,29.21,21.41,37.02,1529.58
42984.24,29.03,19.48,33.87,1527.18
42984.28,29.29,19.49,34.05,1527.77
42984.33,29.18,20.44,35.47,1528.5
42984.37,28.8,20.13,34.74,1527.32
42984.41,28.48,19.48,33.53,1525.92
42984.45,28.45,18.7,32.28,1525.03
42984.49,28.86,21.26,36.55,1528.64
