Date & Time,Temp(?C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
43047.71,24.63,7.15,12.39,1503.13
43047.75,25.13,7.9,13.72,1505.27
43047.79,24.87,8.15,14.05,1504.84
43047.83,24.75,7.82,13.5,1504.17
43047.87,24.78,8.14,14.01,1504.59
43047.92,24.17,10.69,17.8,1505.73
43047.96,24.26,11.07,18.41,1506.38
43048,24.26,11.47,19.02,1506.82
43048.04,24.28,11.8,19.54,1507.26
43048.08,24.37,12.77,21.04,1508.55
43048.12,24.26,14.12,23.02,1509.71
43048.17,23.91,16.3,26.06,1511.16
43048.21,23.79,17.45,27.66,1512.11
43048.25,23.73,17.61,27.87,1512.14
43048.29,23.79,17.08,27.13,1511.71
43048.33,23.85,16.4,26.18,1511.13
43048.37,23.5,8.3,13.9,1501.28
43048.42,23.35,6.57,11.17,1498.98
43048.46,23.32,5.48,9.42,1497.69
43048.5,23.38,4.84,8.4,1497.15
43048.54,23.58,4.57,8,1497.43
43048.58,23.93,3.84,6.86,1497.61
43048.62,24.08,7.96,13.54,1502.51
43048.67,24.14,8.16,13.86,1502.89
43048.71,24.49,9.67,16.33,1505.48
43048.75,24.78,11.6,19.43,1508.36
43048.79,24.93,13.06,21.73,1510.33
43048.83,25.13,13.23,22.07,1511.04
43048.87,24.52,9.02,15.32,1504.85
43048.92,24.02,5.67,9.87,1499.85
43048.96,24.58,14.68,24,1511.17
43049,24.58,15.07,24.59,1511.59
43049.04,24.34,15.93,25.74,1511.91
43049.08,24.28,16.03,25.86,1511.87
43049.12,24.26,15.76,25.45,1511.5
43049.17,24.11,14.74,23.87,1510
43049.21,23.53,17.84,28.08,1511.85
43049.25,23.32,17.98,28.16,1511.45
43049.29,23.18,18.14,28.3,1511.24
43049.33,23.03,17.49,27.29,1510.13
43049.37,22.8,13.04,20.77,1504.57
43049.42,22.88,15.11,23.81,1507.1
43049.46,22.97,16.8,26.28,1509.2
43049.5,22.74,13.28,21.09,1504.67
43049.54,23.53,19.39,30.29,1513.55
43049.58,23.56,18.68,29.3,1512.85
43049.62,23.88,17.6,27.93,1512.51
43049.67,23.85,15.76,25.23,1510.42
43049.71,23.79,14.64,23.57,1509.04
43049.75,23.61,12.98,21.03,1506.74
43049.79,23.61,14.91,23.88,1508.87
43049.83,23.58,16.72,26.5,1510.77
43049.87,23.35,17.35,27.28,1510.84
43049.92,23.26,18.1,28.3,1511.43
43049.96,23.15,18.71,29.09,1511.79
43050,23.03,18.87,29.25,1511.65
43050.04,22.97,18.04,28.04,1510.57
43050.08,22.91,19.41,29.93,1511.93
43050.12,22.62,19.99,30.57,1511.79
43050.17,22.39,19.77,30.11,1510.9
43050.21,22.59,19.89,30.41,1511.6
43050.25,22.33,20.25,30.74,1511.28
43050.29,22.09,20.37,30.75,1510.77
43050.33,21.8,20.58,30.85,1510.19
43050.37,21.74,21.03,31.42,1510.53
43050.42,21.01,16.31,24.56,1503.18
43050.46,21.21,18.98,28.32,1506.77
43050.5,21.09,15.17,23.02,1502.15
43050.54,21.51,11.86,18.54,1499.62
43050.58,21.74,10.65,16.87,1498.94
43050.62,22.03,9.61,15.44,1498.62
43050.67,22.53,11.47,18.37,1502.1
43050.71,22.8,13.2,21.01,1504.75
43050.75,22.71,12.37,19.75,1503.59
43050.79,22.56,13.31,21.06,1504.22
43050.83,22.24,16.84,25.94,1507.24
43050.87,22,17.7,27.01,1507.55
43050.92,21.74,19.05,28.72,1508.32
43050.96,21.62,19.53,29.31,1508.53
43051,21.56,19.56,29.31,1508.4
43051.04,21.48,19.66,29.39,1508.26
43051.08,21.56,16.29,24.81,1504.74
43051.12,21.51,13.35,20.66,1501.28
43051.17,21.42,16.19,24.6,1504.21
43051.21,21.39,17.19,25.97,1505.26
43051.25,21.21,16.67,25.16,1504.17
43051.29,20.98,17.07,25.57,1503.94
43051.33,20.83,17.7,26.36,1504.24
43051.37,20.77,17.82,26.49,1504.2
43051.42,20.77,18.15,26.93,1504.57
43051.46,20.86,18.74,27.78,1505.49
43051.5,21.04,16.38,24.67,1503.34
43051.54,21.39,17.02,25.73,1505.06
43051.58,21.59,15.51,23.75,1503.96
43051.62,21.68,18.07,27.35,1507.07
43051.67,21.74,18.44,27.88,1507.64
43051.71,22,17.56,26.82,1507.39
43051.75,22.15,17.09,26.25,1507.28
